Start_Date	End_Date	Single_Quest_UI	Multi_Quest_UI	Flag	SQresID	MQresID	flagID	eventID
2020-04-15	2020-05-15		text_mt_field_colaboBtl05		1007313192	267202120	395352037	951289729
2020-10-15	2020-10-31		text_mt_field_FBOSS17_02		1007313192	944622916	395352037	2451418958
2020-11-16	2020-11-30		text_mt_field_FBOSS18_01		1007313192	4180118696	395352037	44217055
2020-12-15	2020-12-31		text_mt_field_FBOSS19_01		1007313192	1100737485	395352037	1973781065
2021-01-15	2021-01-31		text_mt_field_FBOSS20_02		1007313192	3795488557	395352037	659843374
2021-02-15	2021-02-28		text_mt_field_FBOSS20_02		1007313192	3795488557	395352037	1347639736
2021-03-15	2021-03-31		text_mt_field_FBOSS22_01		1007313192	3510244892	395352037	3378120706
2021-04-15	2021-05-14		text_mt_field_FBOSS23_01		1007313192	1770418553	395352037	3193780372
2021-06-15	2021-06-30		text_mt_field_FBOSS25_01		1007313192	1290612389	395352037	1463721377
2021-07-22	2021-08-06		text_mt_field_FBOSS26_01		1007313192	1582858571	395352037	3459763227
2021-08-06	2021-08-31		text_mt_field_FBOSS27_01		1007313192	3873760814	395352037	3106995341
2021-09-15	2021-09-30		text_mt_field_FBOSS28_01		1007313192	3196581496	395352037	697295132
2021-10-15	2021-10-31		text_mt_field_FBOSS29_01		1007313192	104567069	395352037	1586024842
2021-11-15	2021-12-31		text_mt_field_FBOSS30_01		1007313192	1179907879	395352037	1045387375
2020-09-15	2020-09-30		text_mt_field_fdExBoss16_01		1007313192	2412527380	395352037	698292030
2019-01-07	2019-01-31		text_mt_field_ftExBoss07		1007313192	2613845715	395352037	7292922
2019-01-07	2019-01-31				1007313192	1007313192	395352037	2573604416
2020-05-15	2020-05-30		text_mt_field_ftExBoss12		1007313192	4072528669	395352037	2041839454
2020-06-15	2020-06-30		text_mt_field_ftExBoss13		1007313192	2243619723	395352037	246730696
2020-05-15	2020-05-30		text_mt_field_ftExBoss12		1007313192	4072528669	395352037	2155685633
2020-07-15	2020-07-31		text_mt_field_ftExBoss14_00		1007313192	2276919848	395352037	1763607092
2020-08-17	2020-08-31		text_mt_field_ftExBoss15_01		1007313192	1208770011	395352037	505000610
2019-07-23	2019-07-13	text_fieldadv_ftExBoss01	text_mt_field_ftExBoss01		3763345367	1924119526	395352037	117203830
2014-12-31	2019-09-06	text_fieldadv_ftExBoss02	text_mt_field_ftExBoss02		1860112436	3953584732	395352037	3899383868
2014-12-31	2018-09-30	text_fieldadv_ftExBoss03	text_mt_field_ftExBoss03		2725580970	2627853002	395352037	1942924371
2019-11-19	2019-11-30		text_mt_field_ftExBoss04		1007313192	46485353	395352037	90421871
2020-02-07	2020-02-29		text_mt_field_ftExBoss08		1007313192	192086850	395352037	507720263
2020-03-16	2020-03-31		text_mt_field_ftExBoss09		1007313192	2087990228	395352037	2269799421
2019-09-30	2099-08-31				1007313192	1007313192	395352037	1562395687
2013-12-31	2015-01-02				1007313192	1007313192	395352037	475101321
