Start_Date	End_Date	Event_Name	Event_Display	Event_ID	Event_Banner_URL	Management_ID
2017-04-22	2014-12-31	The Unruly Forest Bear	Divine Clash	2414825146	/html/html_info/ANZBATTLE/001_DAISHINRINBEAR/img/main_banner.jpg	2414825146
2014-12-31	2014-12-31	!Challenge!	Divine Clash	3986500334	/html/html_info/ANZBATTLE/001_DAISHINRINBEAR/img/main_banner.jpg	3986500334
2000-12-31	2014-12-31	Burning Forest	Urgent Crusade Challenge	2422950584	/html/html_info/challenge_battle/img/banner_event_bounty_003_small_00.png	2422950584
2000-12-31	2014-12-31	Great Fire at Night	Urgent Crusade Challenge	2165711041	/html/html_info/challenge_battle/img/banner_event_bounty_001_small_00.png	2165711041
2021-12-13	2021-01-14	Cave Panther from the Abyss	Urgent Crusade Challenge	955120425	/html/html_info/challenge_battle/img/banner_event_bounty_004_small_00.png	955120425
2021-11-06	2021-12-20	Ice Flower Blooming Underground	Urgent Crusade Challenge	2750215219	/html/html_info/challenge_battle/img/banner_event_bounty_002_small_00.png	2750215219
2000-12-31	2014-12-31	Challenge: Medium Forest Bear	Urgent Crusade Challenge	437727195	/html/html_info/challenge_battle/img/banner_event_bounty_002_small_00.png	437727195
2000-12-31	2014-12-31	Challenge: Prince White Woolie	Urgent Crusade Challenge	191514018	/html/html_info/challenge_battle/img/banner_event_bounty_002_small_00.png	191514018
2000-12-31	2014-12-31	Challenge: Meteor Apegore	Urgent Crusade Challenge	2995887690	/html/html_info/challenge_battle/img/banner_event_bounty_002_small_00.png	2995887690
2000-12-31	2014-12-31	Challenge: Prairie Tortortoise	Urgent Crusade Challenge	3860422103	/html/html_info/challenge_battle/img/banner_event_bounty_002_small_00.png	3860422103
2000-12-31	2014-12-31	Challenge: Gaia Golem	Urgent Crusade Challenge	1608681023	/html/html_info/challenge_battle/img/banner_event_bounty_002_small_00.png	1608681023
2021-12-13	2021-12-27	Fated furious black dragon	Urgent Crusade Challenge	2281177281	/html/html_info/emergency_challenge/003_scarface/img/banner_event_bounty_010_small_00.png	2281177281
2022-03-14	2022-03-28	Boss Rush! Guardian of Earth	Urgent Crusade Challenge	1040440105	/html/html_info/challenge_battle/img/banner_event_bounty_011_small_00.png	1040440105
2022-01-24	2022-02-07	Dominator of Gale	Urgent Crusade Challenge	796832080	/html/html_info/challenge_battle/img/banner_event_bounty_chg06_small_00.png	796832080
2022-01-31	2022-02-07	Dominator of Gale	Urgent Crusade Challenge	3061309674	/html/html_info/challenge_battle/img/banner_event_bounty_chg06_small_01.png	3061309674
2022-01-31	2022-02-14	The Great Red Hood?!	Urgent Crusade Challenge	2525326008	/html/html_info/challenge_battle/img/banner_event_bounty_chg07_small_00.png	2525326008
2022-02-07	2022-02-14	Counter-Attack of the Fake Hood	Urgent Crusade Challenge	260848386	/html/html_info/challenge_battle/img/banner_event_bounty_chg07_small_01.png	260848386
2022-02-14	2022-02-28	Madness of the Terrawyrm	Urgent Crusade Challenge	226780578	/html/html_info/challenge_battle/img/banner_event_bounty_chg08_small_00.png	226780578
2022-02-21	2022-02-28	Madness of the Terrawyrm	Urgent Crusade Challenge	2492281880	/html/html_info/challenge_battle/img/banner_event_bounty_chg08_small_01.png	2492281880
2022-03-28	2022-04-11	The Lying Clown Spook	Urgent Crusade Challenge	3028270666	/html/html_info/challenge_battle/img/banner_event_bounty_chg09_small_00.png	3028270666
2022-04-04	2022-04-11	The Scythe Ghost of Curse	Urgent Crusade Challenge	762769392	/html/html_info/challenge_battle/img/banner_event_bounty_chg09_small_01.png	762769392
1998-12-31	2000-05-30	The Lying Rare Clown Ghost	Urgent Crusade Challenge	1517412198	/html/html_info/challenge_battle/img/banner_event_bounty_chg09_small_00.png	1517412198
2022-04-11	2022-05-02	Yo-kai Attack! Take Down the Hinozall!	Urgent Crusade Challenge	2768426035	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl01_small_00.png	2768426035
2022-04-25	2022-05-02	Yo-kai Attack! Take Down the Hinozall!	Urgent Crusade Challenge	1007388041	/html/html_info/challenge_battle/img/banner_event_bounty_colaboBtl01_small_01.png	1007388041
2022-02-28	2022-03-14	Snake Sisters of the Desert	Urgent Crusade Challenge	486084571	/html/html_info/challenge_battle/img/banner_event_bounty_chg10_small_00.png	486084571
2022-03-07	2022-03-14	Snake Sisters of the Desert	Urgent Crusade Challenge	2247122529	/html/html_info/challenge_battle/img/banner_event_bounty_chg10_small_01.png	2247122529
2022-02-21	2022-03-07	Log with Your All!! Spirit Tree of Wind!! (Part 1)	Urgent Crusade Challenge	1215417414	/html/html_info/challenge_battle/img/banner_event_bounty_chg11_small_00.png	1215417414
2022-02-28	2022-03-07	Log with Your All!! Spirit Tree of Wind!! (Part 2)	Urgent Crusade Challenge	3514342908	/html/html_info/challenge_battle/img/banner_event_bounty_chg11_small_01.png	3514342908
2020-12-21	2021-01-04	Anniversary Boss Carnival	Urgent Crusade Challenge	4052359086	/html/html_info/challenge_battle/img/banner_event_bounty_chg12_small_00.png	4052359086
2020-12-28	2021-01-11	Anniversary Boss Carnival	Urgent Crusade Challenge	1753433620	/html/html_info/challenge_battle/img/banner_event_bounty_chg12_small_01.png	1753433620
2022-04-25	2022-05-09	Coastal Invader	Urgent Crusade Challenge	2922427443	/html/html_info/challenge_battle/img/banner_event_bounty_chg13_small_00.png	2922427443
2022-04-29	2022-05-09	Coastal Invader	Urgent Crusade Challenge	926541193	/html/html_info/challenge_battle/img/banner_event_bounty_chg13_small_01.png	926541193
2022-05-03	2022-05-09	Coastal Invader	Urgent Crusade Challenge	1077859615	/html/html_info/challenge_battle/img/banner_event_bounty_chg13_small_02.png	1077859615
2020-12-30	2021-02-02	Ursibang in the Woods	Urgent Crusade Challenge	399208411	/html/html_info/challenge_battle/img/banner_event_bounty_chg15_small_00.png	399208411
2021-01-06	2021-02-02	Ursibang in the Woods	Urgent Crusade Challenge	2395094625	/html/html_info/challenge_battle/img/banner_event_bounty_chg15_small_01.png	2395094625
2021-01-13	2021-02-02	Ursibang in the Woods	Urgent Crusade Challenge	4190441207	/html/html_info/challenge_battle/img/banner_event_bounty_chg15_small_02.png	4190441207
2020-11-01	2020-11-14	Halloween Party in Confusion!	Urgent Crusade Challenge	112592290	/html/html_info/challenge_battle/img/banner_event_bounty_chg16_small_00.png	112592290
2020-11-01	2020-11-14	Halloween Party in Confusion!	Urgent Crusade Challenge	2680116248	/html/html_info/challenge_battle/img/banner_event_bounty_chg16_small_01.png	2680116248
2020-11-01	2020-11-14	Halloween Party in Confusion!	Urgent Crusade Challenge	3904398478	/html/html_info/challenge_battle/img/banner_event_bounty_chg16_small_02.png	3904398478
2020-11-01	2020-11-14	Halloween Party in Confusion!	Urgent Crusade Challenge	1994191149	/html/html_info/challenge_battle/img/banner_event_bounty_chg16_small_03.png	1994191149
2021-02-03	2021-02-23	Waterpard Attack! Return of the Icy Whip!	Urgent Crusade Challenge	3209551434	/html/html_info/challenge_battle/img/banner_event_bounty_chg20_small_00.png	3209551434
2021-02-10	2021-02-23	Waterpard Attack! Return of the Icy Whip!	Urgent Crusade Challenge	642027504	/html/html_info/challenge_battle/img/banner_event_bounty_chg20_small_01.png	642027504
2021-03-03	2021-03-16	Clash! Confront the Chimera!	Urgent Crusade Challenge	2646018744	/html/html_info/challenge_battle/img/banner_event_bounty_chg18_small_00.png	2646018744
2021-03-10	2021-03-16	Clash! Confront the Chimera!	Urgent Crusade Challenge	79584002	/html/html_info/challenge_battle/img/banner_event_bounty_chg18_small_01.png	79584002
